main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista
3525,Robin Hood St,3,North Dorchester,12:00,16:00,Even,Hartford St,Magnolia St,0.1595,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:46:36+00,ROBIN1,0,842
3526,Sargent St,3,North Dorchester,12:00,16:00,Odd,Hartford St,Howard St,0.2155,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:47:29+00,SARGE1,0,1138
3527,Sargent St,3,North Dorchester,12:00,16:00,Even,Hartford St,Howard St,0.2155,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:48:09+00,SARGE1,0,1138
3528,Wayland St,3,North Dorchester,12:00,16:00,Odd,Dacia St,Magnolia St,0.2892,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:49:25+00,WAYLA1,0,1527
3529,Wayland St,3,North Dorchester,12:00,16:00,Even,Dacia St,Magnolia St,0.2892,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:49:58+00,WAYLA1,0,1527
3530,Woodford St,3,North Dorchester,12:00,16:00,Odd,Magnolia St,Magnolia St,0.1343,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:50:42+00,WOODF2,0,709
3531,Woodford St,3,North Dorchester,12:00,16:00,Even,Magnolia St,Magnolia St,0.1343,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 13:51:14+00,WOODF2,0,709
3532,Gove St,9,East Boston,12:00,16:00,Odd,Chelsea St,Bremen St,0.0407,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 14:05:03+00,GOVE 1,611,826
3533,Gove St,9,East Boston,12:00,16:00,Even,Chelsea St,Bremen St,0.0407,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 14:05:40+00,GOVE 1,611,826
3534,Porter St,9,East Boston,12:00,16:00,Odd,Chelsea St,Bremen St,0.0426,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 14:10:01+00,PORTE2,489,714
3535,Porter St,9,East Boston,12:00,16:00,Even,Chelsea St,Bremen St,0.0426,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2015-04-06 14:09:55+00,PORTE2,489,714
3536,Bradford St,1,,08:00,12:00,Odd,Shawmut St,Waltham St,0.1195,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,t,2021-12-07 14:04:55+00,BRADF2,0,631
3537,Clifton St,3,North Dorchester,08:00,12:00,Odd,George St,East Cottage St,0.1761,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2015-04-06 14:46:58+00,CLIFT1,0,930
3538,Clifton St,3,North Dorchester,08:00,12:00,Even,George St,East Cottage St,0.1761,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2015-04-06 14:47:33+00,CLIFT1,0,930
3539,George St,3,North Dorchester,08:00,12:00,Odd,Magazine St,Clifton St,0.1617,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2015-04-06 19:45:26+00,GEORG2,915,1769
3540,George St,3,North Dorchester,08:00,12:00,Even,Magazine St,Clifton St,0.1617,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2015-04-06 19:46:05+00,GEORG2,915,1769
3541,Cardington St,10,Roxbury,12:00,16:00,Odd,Cobden St,Dead End,0.0422,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2015-04-06 19:47:22+00,CARDI1,0,223
3542,Cardington St,10,Roxbury,12:00,16:00,Even,Cobden St,Dead End,0.0422,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2015-04-23 18:29:17+00,CARDI1,0,223
3543,Cobden St,10,Roxbury,12:00,16:00,Odd,Washington St,Walnut Ave,0.1805,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2015-04-23 18:26:58+00,COBDE1,0,953
3544,Cobden St,10,Roxbury,12:00,16:00,Even,Washington St,Walnut Ave,0.1805,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2015-04-23 18:26:47+00,COBDE1,0,953
3545,Dunford St,10,Roxbury,12:00,16:00,Odd,Cobden St,Dead End,0.0392,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2015-04-23 18:29:02+00,DUNFO1,0,207
3546,Dunford St,10,Roxbury,12:00,16:00,Even,Cobden St,Dead End,0.0392,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2015-04-23 18:28:55+00,COBDE1,0,207
